Data,Hora,Padrao,Resultado,Estagio
03/04/2025,16:49:05,PVPPPPPV,LOSS,Martingale 1
03/04/2025,16:49:37,PVPPPPPV,LOSS,Gale 1
03/04/2025,16:50:36,PPVPPV,WIN,Martingale 0
03/04/2025,16:57:37,VPPPPVVP,LOSS,Martingale 1
03/04/2025,16:58:04,VPPPPVVP,LOSS,Gale 1
03/04/2025,16:59:34,VVPVVVP,WIN,Martingale 0
03/04/2025,17:01:05,VVPVVP,WIN,Martingale 0
03/04/2025,17:02:09,PVVPVV,LOSS,Martingale 1
03/04/2025,17:02:36,PVVPVV,WIN,Martingale 1
03/04/2025,17:03:34,VVPVVVPP,LOSS,Martingale 1
03/04/2025,17:04:07,VVPVVVPP,BRANCO,Martingale 1
03/04/2025,17:07:39,BPPVVP,WIN,Martingale 0
03/04/2025,17:09:36,VVPPPPV,WIN,Martingale 0
03/04/2025,17:10:40,VPPPPVVV,LOSS,Martingale 1
03/04/2025,17:11:07,VPPPPVVV,WIN,Martingale 1
03/04/2025,17:12:05,PVVVPVP,BRANCO,Martingale 0
03/04/2025,17:13:09,PVPBP,WIN,Martingale 0
03/04/2025,17:14:09,PBPVP,LOSS,Martingale 1
03/04/2025,17:14:41,PBPVP,LOSS,Gale 1
03/04/2025,17:18:38,PVVPVV,LOSS,Martingale 1
03/04/2025,17:19:10,PVVPVV,WIN,Martingale 1
03/04/2025,17:20:09,VVPVVVPP,LOSS,Martingale 1
03/04/2025,17:20:41,VVPVVVPP,LOSS,Martingale 2
03/04/2025,17:21:08,VVPVVVPP,WIN,Martingale 2
03/04/2025,17:22:07,VPPPPVP,WIN,Martingale 0
03/04/2025,17:24:40,PPVPPPPPV,LOSS,Martingale 1
03/04/2025,17:25:12,PPVPPPPPV,WIN,Martingale 1
03/04/2025,17:26:42,PPVPVVV,WIN,Martingale 0
03/04/2025,17:27:41,PPVPVVVPP,BRANCO,Martingale 0
03/04/2025,17:28:40,VVVPPBV,WIN,Martingale 0
03/04/2025,18:09:45,VVPPPPV,WIN,Martingale 0
03/04/2025,18:10:44,VPPPPVVP,LOSS,Martingale 1
03/04/2025,18:11:16,VPPPPVVP,WIN,Martingale 1
03/04/2025,18:12:15,PVVPVPP,WIN,Martingale 0
03/04/2025,18:13:46,VPVPPVPP,LOSS,Martingale 1
03/04/2025,18:14:18,VPVPPVPP,LOSS,Martingale 2
03/04/2025,18:14:45,VPVPPVPP,WIN,Martingale 2
03/04/2025,18:15:44,PVPPPPVV,LOSS,Martingale 1
03/04/2025,18:16:16,PVPPPPVV,LOSS,Martingale 2
03/04/2025,18:16:48,PVPPPPVV,LOSS,Gale 1
03/04/2025,18:17:47,PPPVVVVVP,WIN,Martingale 0
03/04/2025,18:18:46,PVVVVVPVV,LOSS,Martingale 1
03/04/2025,18:19:18,PVVVVVPVV,WIN,Martingale 1
03/04/2025,18:20:17,PVVPVP,LOSS,Martingale 1
03/04/2025,18:20:46,PVVPVP,LOSS,Martingale 2
03/04/2025,18:21:18,PVVPVP,BRANCO,Martingale 2
03/04/2025,18:22:17,PPPBV,LOSS,Martingale 1
03/04/2025,18:22:49,PPPBV,BRANCO,Martingale 1
03/04/2025,18:26:46,BPVVPVV,LOSS,Martingale 1
03/04/2025,18:27:18,BPVVPVV,WIN,Martingale 1
03/04/2025,18:29:46,VVPVBPV,WIN,Martingale 0
03/04/2025,18:30:50,BPVPV,WIN,Martingale 0
03/04/2025,18:32:20,BPVPVVVP,WIN,Martingale 0
03/04/2025,18:33:19,PVVVPVP,BRANCO,Martingale 0
03/04/2025,18:34:18,PVPBP,LOSS,Martingale 1
03/04/2025,18:34:50,PVPBP,WIN,Martingale 1
03/04/2025,18:37:49,PVBVVPV,WIN,Martingale 0
03/04/2025,18:40:18,VVPVVVVVV,WIN,Martingale 0
03/04/2025,18:42:19,VPPBP,LOSS,Martingale 1
03/04/2025,18:42:51,VPPBP,WIN,Martingale 1
03/04/2025,18:44:18,BPPVVV,WIN,Martingale 0
03/04/2025,18:45:17,VVVVB,LOSS,Martingale 1
03/04/2025,18:45:50,VVVVB,WIN,Martingale 1
03/04/2025,18:48:49,PVVVBPP,WIN,Martingale 0
03/04/2025,18:50:20,BPPPVV,BRANCO,Martingale 0
03/04/2025,18:53:50,VPPVVV,LOSS,Martingale 1
03/04/2025,18:54:23,VPPVVV,WIN,Martingale 1
03/04/2025,18:56:19,VVPVVVP,WIN,Martingale 0
03/04/2025,18:57:23,PVVVPVP,LOSS,Martingale 1
03/04/2025,18:57:50,PVVVPVP,LOSS,Martingale 2
03/04/2025,18:58:22,PVVVPVP,WIN,Martingale 2
03/04/2025,18:59:21,PVPVVPP,LOSS,Martingale 1
03/04/2025,18:59:53,PVPVVPP,LOSS,Martingale 2
03/04/2025,19:00:20,PVPVVPP,LOSS,Gale 1
03/04/2025,19:01:19,PPVVVP,WIN,Martingale 0
03/04/2025,19:03:22,VVPVVVP,WIN,Martingale 0
03/04/2025,19:06:21,VPPPPPPP,LOSS,Martingale 1
03/04/2025,19:06:53,VPPPPPPP,WIN,Martingale 1
03/04/2025,19:08:55,PPPVVVV,WIN,Martingale 0
03/04/2025,19:09:54,PPPVVVVPV,WIN,Martingale 0
03/04/2025,19:11:25,VVPVVVP,WIN,Martingale 0
03/04/2025,19:12:24,VVVPPV,LOSS,Martingale 1
03/04/2025,19:12:56,VVVPPV,LOSS,Martingale 2
03/04/2025,19:13:22,VVVPPV,BRANCO,Martingale 2
03/04/2025,19:20:56,VVVPVPP,WIN,Martingale 0
03/04/2025,19:22:22,VPPVPP,LOSS,Martingale 1
03/04/2025,19:22:55,VPPVPP,LOSS,Martingale 2
03/04/2025,19:23:27,VPPVPP,WIN,Martingale 2
